TIME,ACC(a),OMEGA(a),ACC(b),OMEGA(b)
0,0,0, 0, 0
0.001,64.3556,64.3556, 37.3645, 37.3645
0.002,125.851,190.206, 73.8937, 111.258
0.003,180.386,370.593, 108.271, 219.529
0.004,224.481,595.073, 139.051, 358.58
0.005,255.659,850.732, 164.652, 523.232
0.006,272.702,1123.43, 183.456, 706.688
0.007,275.732,1399.17, 194.018, 900.706
0.008,266.104,1665.27, 195.38, 1096.09
0.009,246.146,1911.42, 187.415, 1283.5
0.01,218.796,2130.21, 171.07, 1454.57
0.011,187.192,2317.41, 148.364, 1602.93
0.012,154.292,2471.7, 122.083, 1725.02
0.013,122.576,2594.27, 95.2199, 1820.24
0.014,93.8705,2688.14, 70.3649, 1890.6
0.015,69.2853,2757.43, 49.2669, 1939.87
0.016,49.2696,2806.7, 32.6924, 1972.56
0.017,33.736,2840.43, 20.5658, 1993.13
0.018,22.2261,2862.66, 12.2646, 2005.39
0.019,14.0765,2876.74, 6.93061, 2012.32
0.02,8.56115,2885.3, 3.70742, 2016.03
0.021,4.994,2890.29, 1.87445, 2017.9
0.022,2.7903,2893.08, 0.893802, 2018.8
0.023,1.49098,2894.57, 0.400861, 2019.2
0.024,0.760615,2895.33, 0.16854, 2019.37
0.025,0.369743,2895.7, 0.066172, 2019.43
0.026,0.170904,2895.88, 0.0241507, 2019.46
0.027,0.0749347,2895.95, 0.00814987, 2019.47
0.028,0.031084,2895.98, 0.00252701, 2019.47
0.029,0.0121622,2895.99, 0.000714591, 2019.47
0.03,0.00447347,2896, 0.000182639, 2019.47
0.031,0.00154086,2896, 4.17281e-05, 2019.47
0.032,0.000494843,2896, 8.40546e-06, 2019.47
0.033,0.000147422,2896, 1.46644e-06, 2019.47
0.034,4.05038e-05,2896, 2.16377e-07, 2019.47
0.035,1.01921e-05,2896, 2.61166e-08, 2019.47
0.036,2.32963e-06,2896, 2.45211e-09, 2019.47
0.037,4.78868e-07,2896, 1.64678e-10, 2019.47
0.038,8.74331e-08,2896, 6.49453e-12, 2019.47
0.039,1.39587e-08,2896, 0, 2019.47
0.04,1.90873e-09,2896, 0, 2019.47
0.041,2.17521e-10,2896, 0, 2019.47
0.042,1.99483e-11,2896, 0, 2019.47
0.043,1.30361e-12,2896, 0, 2019.47
0.044,0,2896, 0, 2019.47
0.045,0,2896, 0, 2019.47
0.046,0,2896, 0, 2019.47
0.047,0,2896, 0, 2019.47
0.048,0,2896, 0, 2019.47
0.049,0,2896, 0, 2019.47
0.05,0,2896, 0, 2019.47
0.051,0,2896, 0, 2019.47
0.052,0,2896, 0, 2019.47
0.053,0,2896, 0, 2019.47
0.054,0,2896, 0, 2019.47
0.055,0,2896, 0, 2019.47
0.056,0,2896, 0, 2019.47
0.057,0,2896, 0, 2019.47
0.058,0,2896, 0, 2019.47
0.059,0,2896, 0, 2019.47
0.06,0,2896, 0, 2019.47
0.061,0,2896, 0, 2019.47
0.062,0,2896, 0, 2019.47
0.063,0,2896, 0, 2019.47
0.064,0,2896, 0, 2019.47
0.065,0,2896, 0, 2019.47
0.066,0,2896, 0, 2019.47
0.067,0,2896, 0, 2019.47
0.068,0,2896, 0, 2019.47
0.069,0,2896, 0, 2019.47
0.07,0,2896, 0, 2019.47
0.071,0,2896, 0, 2019.47
0.072,0,2896, 0, 2019.47
0.073,0,2896, 0, 2019.47
0.074,0,2896, 0, 2019.47
0.075,0,2896, 0, 2019.47
0.076,0,2896, 0, 2019.47
0.077,0,2896, 0, 2019.47
0.078,0,2896, 0, 2019.47
0.079,0,2896, 0, 2019.47
0.08,0,2896, 0, 2019.47
0.081,0,2896, 0, 2019.47
0.082,0,2896, 0, 2019.47
0.083,0,2896, 0, 2019.47
0.084,0,2896, 0, 2019.47
0.085,0,2896, 0, 2019.47
0.086,0,2896, 0, 2019.47
0.087,0,2896, 0, 2019.47
0.088,0,2896, 0, 2019.47
0.089,0,2896, 0, 2019.47
0.09,0,2896, 0, 2019.47
0.091,0,2896, 0, 2019.47
0.092,0,2896, 0, 2019.47
0.093,0,2896, 0, 2019.47
0.094,0,2896, 0, 2019.47
0.095,0,2896, 0, 2019.47
0.096,0,2896, 0, 2019.47
0.097,0,2896, 0, 2019.47
0.098,0,2896, 0, 2019.47
0.099,0,2896, 0, 2019.47
